# N9040B Phase Noise Log Plot export
# timestamp=20260311_145411
# carrier_freq_Hz=55000000.0
# start_offset_Hz_req=1.0
# stop_offset_Hz_req=100000000.0
# signal_tracking=False
# tracking_span_Hz=None
# auto_tune=False
# avg_enable=False
# avg_count=1
# avg_mode=REPeat
# smooth=4.0
# method=PN
# export_trace=smoothed
# compute_frequency_noise=True
# self_heterodyne_delay_freq_Hz=200000.0
# self_heterodyne_tau_s=5e-06
# self_heterodyne_zero_mask_Hz=0.0
# self_heterodyne_h2_epsilon=1e-12
# scalar_carrier_power_dBm=-0.96
# scalar_carrier_frequency_Hz=55000000.0
# scalar_rms_phase_noise_deg=197.6650987
# scalar_rms_phase_noise_rad=3.449906788
# scalar_residual_FM_Hz=744385.8515
# scalar_spot_noise_start_dBc_per_Hz=-0.2
# scalar_spot_noise_stop_dBc_per_Hz=-121.48
offset_Hz,phase_noise_dBc_per_Hz,phase_noise_raw_dBc_per_Hz,phase_noise_smoothed_dBc_per_Hz,freq_noise_psd_Hz2_per_Hz,freq_noise_asd_Hz_per_sqrtHz
9.6977,-15.91,-14.64,-15.91,25983656.002167117,5097.416600805463
10.0,-16.08,-15.63,-16.08,24986202.661218233,4998.620075702716
10.3118,-16.24,-15.38,-16.24,24082427.327576824,4907.384978537635
10.6333,-16.42,-16.64,-16.42,23104695.99931,4806.73444235377
10.9648,-16.49,-17.07,-16.49,22735277.471943956,4768.152417021079
11.3066,-15.89,-18.38,-15.89,26103591.181492183,5109.167366752843
11.6591,-15.65,-17.13,-15.65,27586732.232324004,5252.3073246263875
12.0226,-15.38,-18.38,-15.38,29356228.521435607,5418.138842945575
12.3975,-15.06,-17.57,-15.06,31600958.830488224,5621.473012519781
12.784,-14.58,-17.36,-14.58,35293949.540650934,5940.871109580727
13.1826,-14.18,-12.57,-14.18,38699046.16004512,6220.855741780637
13.5936,-13.78,-16.81,-13.78,42432660.364435054,6514.035643472874
14.0174,-13.46,-18.88,-13.46,45677282.84804423,6758.497085006713
14.4544,-12.91,-18.6,-12.91,51844210.11610736,7200.292363238271
14.905,-12.48,-16.61,-12.48,57240084.01718614,7565.717680245949
15.3697,-12.12,-18.37,-12.12,62187094.046221375,7885.879408551806
15.8489,-11.66,-4.81,-11.66,69135365.56369308,8314.767920013948
16.3431,-11.38,-7.79,-11.38,73739512.84655811,8587.171411271473
16.8526,-11.23,-9.71,-11.23,76330879.204046,8736.754500616691
17.378,-10.91,-6.39,-10.91,82167536.31047763,9064.631063119868
17.9198,-10.72,-7.26,-10.72,85842086.68213752,9265.100468000199
18.4785,-10.36,-6.29,-10.36,93261042.71221492,9657.175710952706
19.0546,-10.34,-4.68,-10.34,93691516.29314043,9679.437808733544
19.6487,-10.2,-7.34,-10.2,96760982.25781015,9836.716030150008
20.2613,-10.12,-2.87,-10.12,98559903.42565067,9927.734052927217
20.893,-9.78,-5.49,-9.78,106586026.0290449,10324.05085366422
21.5443,-9.47,-8.32,-9.47,114472263.71894667,10699.17116971902
22.216,-9.06,-6.68,-9.06,125805686.58432259,11216.313413253152
22.9087,-9.19,-11.86,-9.19,122095673.08013782,11049.691085280974
23.6229,-9.13,-13.64,-9.13,123794193.42350098,11126.283900004573
24.3594,-9.1,-11.13,-9.1,124652294.14039253,11164.779180099915
25.1189,-9.44,-13.01,-9.44,115265749.1250864,10736.188761617708
25.902,-9.63,-9.21,-9.63,110331692.04845515,10503.889377200006
26.7096,-9.92,-12.06,-9.92,103204891.14108413,10158.980812123042
27.5423,-10.18,-13.65,-10.18,97207613.63723831,9859.392153537576
28.401,-10.24,-16.89,-10.24,95873875.55637144,9791.520594696793
29.2864,-10.8,-10.95,-10.8,84275295.74392198,9180.157718902326
30.1995,-11.19,-9.49,-11.19,77037164.1124932,8777.08175377746
31.1411,-11.27,-8.92,-11.27,75631077.76281337,8696.613005234472
32.1119,-11.67,-7.79,-11.67,68976363.0602166,8305.200964468988
33.1131,-11.78,-6.39,-11.78,67251239.59234855,8200.685312359483
34.1455,-11.97,-9.09,-11.97,64372488.19265819,8023.2467363691485
35.2101,-12.08,-14.18,-12.08,62762509.32306862,7922.279301000983
36.3078,-12.11,-11.61,-12.11,62330455.650362834,7894.963942309226
37.4398,-12.51,-13.03,-12.51,56846051.56543681,7539.632057695972
38.6071,-12.69,-10.61,-12.69,54538138.169250466,7384.994121138518
39.8107,-12.81,-8.79,-12.81,53051822.90593068,7283.668231456639
41.0519,-12.99,-15.74,-12.99,50897952.81917518,7134.280119197394
42.3318,-13.44,-14.33,-13.44,45888125.62778563,6774.077474297562
43.6516,-13.9,-10.18,-13.9,41276258.40838862,6424.66017843657
45.0125,-14.38,-15.84,-14.38,36957307.799360536,6079.252240149321
46.4159,-14.91,-14.53,-14.91,32711490.375745367,5719.395979974229
47.863,-15.45,-17.87,-15.45,28886859.987695448,5374.649754885936
49.3552,-15.97,-13.63,-15.97,25627151.81275185,5062.326719281545
50.894,-16.27,-13.84,-16.27,23916649.94987445,4890.46520791984
52.4807,-16.67,-18.3,-16.67,21812244.289624233,4670.358047261926
54.117,-16.83,-16.11,-16.83,21023274.418314893,4585.114438955138
55.8042,-17.17,-16.61,-17.17,19440183.761346735,4409.102375920379
57.544,-17.75,-21.01,-17.75,17009845.654506296,4124.29941378003
59.3381,-18.26,-21.14,-18.26,15125174.031441802,3889.1096707912216
61.1881,-18.95,-20.23,-18.95,12903287.927390134,3592.114687393783
63.0957,-19.6,-19.91,-19.6,11109650.504752964,3333.114235179011
65.0629,-19.93,-19.88,-19.93,10296755.628635006,3208.855813001732
67.0914,-20.1,-18.8,-20.1,9901486.858322343,3146.662812937278
69.1831,-20.14,-21.2,-20.14,9810709.711164411,3132.205247292139
71.34,-20.48,-20.94,-20.48,9071945.58110178,3011.967061755786
73.5642,-20.99,-20.94,-20.99,8066784.365694719,2840.2085074329875
75.8578,-21.03,-16.57,-21.03,7992827.867386688,2827.158974551429
78.2228,-21.41,-18.44,-21.41,7323192.885599411,2706.1398496011643
80.6616,-21.75,-22.17,-21.75,6771743.304523599,2602.2573478661943
83.1764,-21.88,-27.38,-21.88,6572044.595376735,2563.5999288845237
85.7696,-22.09,-30.33,-22.09,6261819.105900514,2502.362704705398
88.4437,-22.23,-25.14,-22.23,6063181.012472499,2462.3527392460446
91.2011,-22.28,-23.49,-22.28,5993776.59753805,2448.219066492631
94.0445,-22.32,-18.39,-22.32,5938825.580670763,2436.970574436787
96.9765,-22.47,-18.73,-22.47,5737207.93665414,2395.246946904252
100.0,-22.46,-21.39,-22.46,5750433.848522464,2398.006223620461
103.1177,-22.84,-25.72,-22.84,5268665.593518248,2295.357399952837
106.3327,-23.32,-19.2,-23.32,4717377.795164777,2171.9525305965544
109.6478,-23.77,-24.89,-23.77,4253051.915759205,2062.292878269041
113.0663,-24.06,-24.35,-24.06,3978329.1435618284,1994.5749280390116
116.5914,-24.32,-24.09,-24.32,3747147.0813652133,1935.7549125251403
120.2264,-24.25,-25.98,-24.25,3808033.5930429525,1951.41835418317
123.9748,-24.16,-23.25,-24.16,3887772.1431162995,1971.743427303943
127.84,-24.28,-21.26,-24.28,3781819.8616357883,1944.690171116157
131.8257,-24.45,-20.67,-24.45,3636644.72313979,1906.998878641461
135.9356,-24.97,-22.18,-24.97,3226271.5217901687,1796.1824856595638
140.1737,-25.69,-21.12,-25.69,2733385.941792023,1653.2954792752635
144.544,-26.06,-29.54,-26.06,2510157.6660064873,1584.3477099445333
149.0505,-26.17,-32.06,-26.17,2447377.9797151396,1564.4097863779616
153.6975,-26.55,-27.02,-26.55,2242338.111550352,1497.4438592315746
158.4893,-26.78,-24.99,-26.78,2126675.1276150197,1458.3124245562128
163.4306,-26.94,-28.17,-26.94,2049751.479983776,1431.695316742978
168.5259,-27.17,-25.85,-27.17,1944022.4192349173,1394.2820443636635
173.7801,-27.31,-28.15,-27.31,1882354.1390666827,1371.989117692514
179.1981,-27.68,-28.07,-27.68,1728627.435929324,1314.7727696941872
184.785,-28.1,-27.2,-28.1,1569283.7378314557,1252.7105562864294
190.5461,-28.49,-30.51,-28.49,1434503.2994931513,1197.7075183420832
196.4868,-28.66,-35.26,-28.66,1379436.2470335162,1174.4940387390293
202.6127,-29.02,-29.79,-29.02,1269701.75815499,1126.8104357676982
208.9296,-28.96,-28.23,-28.96,1287365.3443406553,1134.6212338664632
215.4435,-28.99,-27.97,-28.99,1278503.4743219425,1130.7092793118586
222.1604,-29.18,-30.16,-29.18,1223776.241600346,1106.244205227917
229.0868,-29.54,-28.17,-29.54,1126424.607065717,1061.3315255214636
236.2291,-29.87,-29.37,-29.87,1044004.204986043,1021.7652396642014
243.594,-29.99,-29.16,-29.99,1015552.4871796214,1007.7462414614214
251.1886,-30.11,-31.72,-30.11,987876.1678135373,993.9195982641339
259.02,-30.29,-30.84,-30.29,947769.3307244706,973.534452767066
267.0956,-30.62,-29.81,-30.62,878421.1883568361,937.2412647535511
275.4229,-30.77,-25.96,-30.77,848599.8764475237,921.1948091731324
284.0098,-30.73,-29.36,-30.73,856452.2128102873,925.4470340383004
292.8645,-30.96,-28.28,-30.96,812275.4328178815,901.2632427975088
