# N9040B Phase Noise Log Plot export
# timestamp=20260129_191311
# carrier_freq_Hz=55000000.0
# start_offset_Hz_req=10.0
# stop_offset_Hz_req=100000000.0
# signal_tracking=True
# tracking_span_Hz=None
# auto_tune=True
# avg_enable=True
# avg_count=10
# avg_mode=REPeat
# smooth=4.0
# method=PN
# export_trace=smoothed
# compute_frequency_noise=True
# self_heterodyne_delay_freq_Hz=200000.0
# self_heterodyne_tau_s=5e-06
# self_heterodyne_zero_mask_Hz=0.0
# self_heterodyne_h2_epsilon=1e-12
# sa_enabled=True
# sa_center_freq_Hz=55000000.0
# sa_span_Hz=1000000.0
# sa_rbw_Hz=100.0
# sa_trace_name=TRACE1
# sa_avg_enable=True
# sa_avg_count=10
# sa_avg_method=manual_power_average_mW
# scalar_carrier_power_dBm=-2.25
# scalar_carrier_frequency_Hz=54999979.6
# scalar_rms_phase_noise_deg=12.87906482
# scalar_rms_phase_noise_rad=0.2247820856
# scalar_residual_FM_Hz=1023013.743
# scalar_spot_noise_start_dBc_per_Hz=-34.5
# scalar_spot_noise_stop_dBc_per_Hz=-119.07
offset_Hz,phase_noise_dBc_per_Hz,phase_noise_raw_dBc_per_Hz,phase_noise_smoothed_dBc_per_Hz,freq_noise_psd_Hz2_per_Hz,freq_noise_asd_Hz_per_sqrtHz
65.5642,-47.62,-48.87,-47.62,35053.42059307979,187.22558744220777
67.3493,-47.82,-47.95,-47.82,33475.75743433406,182.96381454903607
69.1831,-48.01,-47.28,-48.01,32042.797208085824,179.00502006392398
71.0668,-48.17,-48.55,-48.17,30883.778618313183,175.73781214728146
73.0018,-48.36,-48.69,-48.36,29561.770470428288,171.9353671308736
74.9894,-48.53,-49.23,-48.53,28426.96214284702,168.6029719276829
77.0312,-48.77,-47.98,-48.77,26898.648650996565,164.00807495668184
79.1286,-49.02,-49.25,-49.02,25393.962500435395,159.35483205863383
81.2831,-49.2,-50.02,-49.2,24362.984352128453,156.08646434629895
83.4962,-49.3,-48.98,-49.3,23808.415836553562,154.29975967756258
85.7696,-49.41,-49.54,-49.41,23212.95946577934,152.35799770861829
88.1049,-49.49,-51.05,-49.49,22789.275968010483,150.96117371036328
90.5038,-49.64,-49.82,-49.64,22015.600856263056,148.37655089758306
92.968,-49.79,-49.39,-49.79,21268.191349532313,145.83617983728288
95.4993,-49.95,-48.88,-49.95,20498.9009069873,143.17437238202686
98.0995,-50.13,-49.81,-50.13,19666.659289797655,140.23786681847972
100.7705,-50.24,-49.57,-50.24,19174.789853778464,138.47306544515604
103.5142,-50.32,-50.45,-50.32,18824.811364591504,137.203539912757
106.3327,-50.46,-50.83,-50.46,18227.648879314987,135.0098103076772
109.2278,-50.45,-50.12,-50.45,18269.668887321226,135.1653390752275
112.2018,-50.27,-50.79,-50.27,19042.7953418966,137.99563522770057
115.2568,-50.37,-51.15,-50.37,18609.329462707457,136.41601615172414
118.395,-50.41,-50.16,-50.41,18438.71921667013,135.7892455854665
121.6186,-50.42,-52.13,-50.42,18396.31250992602,135.6330067126952
124.93,-50.51,-51.46,-50.51,18019.005081860592,134.23488772245685
128.3315,-50.63,-51.01,-50.63,17527.93841050993,132.39312070689297
131.8257,-50.76,-52.69,-50.76,17011.040204506768,130.42637848421143
135.415,-50.88,-51.26,-50.88,16547.443437947182,128.63686655833615
139.102,-50.96,-51.09,-50.96,16245.419909803011,127.45752198204315
142.8894,-51.03,-51.1,-51.03,15985.675013191682,126.43446924471064
146.7799,-51.08,-49.1,-51.08,15802.689969200617,125.70875056733567
150.7764,-51.17,-45.85,-51.17,15478.578081255635,124.41293373783786
154.8817,-51.23,-51.28,-51.23,15266.205603827446,123.55648750198205
159.0987,-51.33,-50.36,-51.33,14918.705963459857,122.14215473561885
163.4306,-51.46,-51.36,-51.46,14478.754499728502,120.32769631189862
167.8804,-51.56,-51.85,-51.56,14149.179525856534,118.95032377365156
172.4514,-51.62,-52.21,-51.62,13955.047290381446,118.13148306180469
177.1468,-51.74,-51.77,-51.74,13574.735342096747,116.5106662160025
181.9701,-51.77,-52.75,-51.77,13481.2894418736,116.10895504599806
186.9247,-51.88,-51.34,-51.88,13144.11948477909,114.64780627983725
192.0142,-52.01,-52.12,-52.01,12756.500994103664,112.9446811235645
197.2423,-52.16,-51.85,-52.16,12323.431060860092,111.01095018447546
202.6127,-52.38,-52.31,-52.38,11714.71470974218,108.23453566095334
208.1294,-52.74,-52.09,-52.74,10782.806147344298,103.8402915411176
213.7962,-52.87,-53.53,-52.87,10464.822898774297,102.29771697733189
219.6174,-53.05,-53.1,-53.05,10039.959781153646,100.19959970555594
225.597,-53.19,-54.37,-53.19,9721.47286243555,98.59752969742979
231.7395,-53.34,-52.77,-53.34,9391.439573692998,96.90944006490285
238.0492,-53.44,-53.84,-53.44,9177.666547266836,95.80013855557222
244.5307,-53.62,-53.4,-53.62,8805.061346435401,93.83528838574217
251.1886,-53.71,-53.82,-53.71,8624.471750867035,92.86803406375648
258.0279,-53.86,-54.1,-53.86,8331.680902271064,91.27804173113633
265.0534,-54.05,-54.55,-54.05,7975.037974024288,89.30306811092376
272.2701,-54.16,-54.07,-54.16,7775.581864931587,88.17925983433739
279.6834,-54.28,-54.18,-54.28,7563.678217821566,86.96940966697179
287.2985,-54.43,-54.39,-54.43,7306.900585481477,85.48041053645845
295.1209,-54.55,-54.36,-54.55,7107.769922291352,84.30759113087831
303.1563,-54.65,-54.69,-54.65,6945.980072445391,83.3425465920342
311.4106,-54.73,-55.17,-54.73,6819.204493511706,82.57847475893283
319.8895,-54.9,-54.63,-54.9,6557.433656647652,80.97798254246429
328.5993,-55.01,-55.89,-55.01,6393.43283530179,79.95894468601865
337.5463,-55.15,-54.81,-55.15,6190.622474506882,78.68050886024366
346.7369,-55.27,-54.8,-55.27,6021.913940351836,77.60099187737123
